event_date;event;source
06/08/2021;On 6 August 2021, unidentified Palestinian militants in Gaza Strip launched incendiary balloons towards Israel that landed in a forest near Beeri (HaDarom, Beer Sheva), sparking three blazes.;Times of Israel
07/08/2021;On 7 August 2021, unidentified Palestinian gunmen opened fire on the Palestinian police Muqataa headquarters in Jenin (Jenin, West Bank), in relation to the confiscation of the car of a killed Palestinian.;Quds News Network
08/08/2021;On 8 August 2021, an unidentified Palestinian group opened fire at the AL- Muqata'a complex belonging to Palestinian security forces in Jenin City (Jenin). The incident occurred after Palestinian police forces confiscated illegal cars in the area. No casualties reported.;"Ma'an News Agency; Palestine News and Information Agency"
09/08/2021;On 9 August 2021, Israeli soldiers gunned down a Palestinian woman near the settlement of Yitzhar (Nablus), and she was injured in the leg before being arrested. According to Israeli sources, the woman had intended to carry out a stabbing attack using a Knife. There were no reports of injuries to security forces.;"Al-Ittihad; AP; Arutz Sheva; Dunia Al Watan; Haaretz; Israeli Defense Forces; Liveuamap; Palestine News and Information Agency; PLO Negotiations Affairs Department; Times of Israel; Twitter"
10/08/2021;On 10 August 2021, an unidentified Palestinian armed group exchanged fire with Israeli soldiers in the west of Jenin city (Jenin). There were no casualties among the soldiers.;"Liveuamap; Twitter"
11/08/2021;On 11 August 2021, Palestinians clashed with Israeli soldiers who raided the old city of Nablus (Nablus). Soldiers fired sound grenades, live bullets, rubber bullets, and tear gas canisters at rioters while an unidentified Palestinian armed group exchanged fire with soldiers.;"Dunia Al Watan; PLO Negotiations Affairs Department"
12/08/2021;On 12 August 2021, Israeli military forces opened fire from its locations towards a military site in Al Burayj camp for refugees (Deir El Balah, Gaza Strip) belonging to an unidentified Palestinian armed group. Casualties unknown.;PLO Negotiations Affairs Department
13/08/2021;On 13 August 2021, an Israeli settler attacked an Israeli Arab bus driver with his cell phone near the entrance of Shvut Rachel settlement, northeast of Turmus Ayya (Ramallah and Al Bireh). The settler refused to wear a face mask inside the bus, and then he started swearing at the driver because he is an Arab before attacking him. The driver sustained injuries to his face and neck and transferred to a hospital for treatment.;"BBC News; Times of Israel"
14/08/2021;On 14 August 2021, a Palestinian man stabbed an Israeli settler west of Al Quds (Al Quds, West Bank). The man was arrested by Israeli forces (coded as Police). Casualties unknown.;Quds News Network
15/08/2021;On 15 August 2021, Palestinian militants fired incendiary balloons causing fires to break out in somewhere in the Israeli areas enveloping the Gaza Strip (coded to Sderot) (Ashqelon, HaDarom). There were no casualties.;Quds News Network
16/08/2021;On 16 August 2021, armed Palestinian militants exchanged fire with Palestinian police forces in Balata Camp (Nablus, West Bank). There were no casualties.;Quds News Network
21/08/2021;On 21 August 2021, Palestinian militants in Gaza Strip hit buildings in Sderot (HaDarom, Ashqelon) with machine gun fire aimed at Israeli military jets that crossed the border. No siren was activated, though one Israeli civilian fell and wounded while running to a shelter after hearing the shots. The Israeli jets were heading to strike in Gaza Strip in retaliation to the shooting on an Israeli soldier at the border earlier that day. A machine gun fire is sometimes used by Palestinian militants against Israeli jets above the Gaza Strip, although it has no ability to hit such targets.;Kan News
22/08/2021;On 22 August 2021, Palestinian militants in Gaza Strip launched incendiary balloons into Israel, which were exploded in the air in the region adjacent to the Israeli-Gaza Strip Border (HaDasrom, Beer Sheva). Coded as Beersheba.;Jerusalem Post
23/08/2021;On 23 August 2021, Palestinian militants in Gaza Strip launched multiple incendiary balloons to Israel that landed in open areas throughout Eshkol Regional Council (HaDarom, Beer Sheva), igniting nine bushfire. Coded as Magen.;"N12; Times of Israel"
24/08/2021;On 24 August 2021, armed clashes erupted between an unidentified Palestinian group and Israeli military forces who raided the Balata Camp in Nablus. A Palestinian teen was killed after attempting to throw a heavy object at soldiers during the clashes.;"AFP; Arutz Sheva; Haaretz; Ma'an News Agency; Palestine News and Information Agency; Press TV; ReliefWeb"
25/08/2021;On 25 August 2021, the security forces of Gaza [police] physically assaulted a Palestinian man in Khan Yunis (Khan Yunis, Gaza Strip) during their attempt to get him out of his house forcibly, he sustained bruises in the chest and hands. No reason reported.;Palestine News and Information Agency
28/08/2021;On 28 August 2021, Palestinian militants in Gaza Strip launched multiple incendiary balloons to Israel that landed in open areas throughout Eshkol Regional Council (HaDasrom, Beer Sheva), igniting two bushfires. Coded as Magen.;Jerusalem Post
01/09/2021;On 1 September 2021, armed Palestinian militants opened fire on Israeli military forces in Al Fandaqumiyah (Jenin, West Bank). There were no casualties.;Quds News Network
02/09/2021;On 2 September 2021, armed Palestinian militants clashed with Israeli military forces in Jenin (Jenin, West Bank). There were no casualties.;Quds News Network
03/09/2021;On 3 September 2021, armed Palestinian militants opened fire on Israeli military forces near Kafr Qallil (Nablus, West Bank). There were no casualties.;Quds News Network
05/09/2021;On 5 September 2021, Israeli soldiers opened fire at a Palestinian car at Mazmuriya (Beit Sahur) Checkpoint near Bayt Sahour (Bethlehem). According to the Israeli army, Palestinians attempted to commit a ramming attack before the vehicle was chased and overturned near the checkpoint. As a result, one Israeli soldier was injured, and the Palestinian driver was arrested.;"Liveuamap; Twitter"
06/09/2021;On 6 September 2021, Palestinian militants in Gaza Strip launched incendiary balloons towards Israel that landed throughout the Shaar Hanegev Regional Council (HaDarom, Ashqelon), sparking three fires in open areas.;Times of Israel
07/09/2021;On 7 September 2021, Israeli prison guards beat several Palestinian security inmates in Shata Prison, west of Ein Harod (Meuhad) (Harod Valley, Yizreel), as revenge over the jailbreak of six high-profile Palestinian prisoners from the nearby Gilboa Prison on September 6. The beaten prisoners were transferred from Gilboa Prison to Shata Prison immediately after the jailbreak as part of precautions to prevent prisoners' riot. They testified that guards at Shata Prison told them that 'There is no law or justice today'.;Haaretz
08/09/2021;On 8 September 2021, armed Palestinian militants opened fire on Israeli military forces in Bayt El (Ramallah and Al Bireh, West Bank). There were no casualties.;Quds News Network
10/09/2021;On 10 September 2021, an Israeli settler opened fire towards 3 Palestinian children in Al Quds - Ar Ram (Al Quds). No casualties reported.;"Dunia Al Watan; Ma'an News Agency; Palestine News and Information Agency"
11/09/2021;On 11 September 2021, a shooting occurred at an Israeli military checkpoint in Halhul town (Hebron), hours after the arrest of 2 of the Palestinian prisoners who had escaped from Gilboa prison last week. The shooting was presumably carried out by an unidentified Palestinian armed group. There were no casualties among the soldiers.;Ma'an News Agency
12/09/2021;On 12 September 2021, an unidentified Palestinian armed group opened fire towards Al Jalamah military checkpoint guarded by Israeli military forces in Al Jalamah (Jenin). This area is witnessing ongoing confrontations after six Palestinian prisoners escaped Gilboa Prison last week. There were no casualties among the soldiers.;Ma'an News Agency
13/09/2021;On 13 September 2021, a Palestinian man stabbed two Israeli Jews outside the central bus station in Jerusalem (Jerusalem, Jerusalem), moderately injuring them. Five bystanders were treated for shock. Israeli Border Police opened fire at the Palestinian, causing him critical injuries. The Palestinian is a West Bank resident who was in Israel illegally and is suspected to have carried out the attack for a nationalist-motivated motive. He does not appear to be affiliated with any militant group.;"N12; Times of Israel"
14/09/2021;On 14 September 2021, armed Palestinian militants opened fire on Israeli military forces on Jabal Jerzim in Nablus (Nablus, West Bank). There were no casualties.;Quds News Network
18/09/2021;On 18 September 2021, armed Palestinian militants clashed with Israeli special forces in the eastern neighborhood of Jenin (Jenin, West Bank). There were no casualties.;Quds News Network
19/09/2021;On 19 September 2021, armed Palestinian militants clashed with Israeli military forces during their retreat from Qabatiyah (Jenin, West Bank). There were no casualties.;Quds News Network
20/09/2021;On 20 September 2021, an unidentified armed Palestinian group opened fire at an Israeli settler house in Givat Gal religious settlement in Kiryat Arba (Hebron, West Bank). There were no casualties among the soldiers.;Al Quds City
21/09/2021;On 21 September 2021, an Israeli Arab man ran over two Israeli Arab-Druze police officers at a construction site in Nahariyya (HaZafon, Akko), killing one and critically wounding the other. The incident followed a brawl between the officers and the attacker, a working constructor with previous criminal charges. The brawl erupted after the officers questioned Palestinian workers who worked for the attacker to check whether they were legally in Israel. The Palestinian fled the scene after the attack and was arrested hours later. Two Palestinian illegal workers who have been at the scene were also arrested on suspicion of relation to the attack, and a third suspected accomplice remained at large. Police say the running over was intentional, but no further information was given on its circumstances.;Times of Israel
22/09/2021;On 22 September 2021, the Gaza Strip police forces beat Palestinian students affiliated with Fatah Movement with sticks at Al Azhar University in Gaza (Gaza City, Gaza Strip). As a result, 2 students were bruised and taken to hospital for treatment, and 11 others were arrested. The police prevented students affiliated with Fatah Movement from organizing student festivals inside the university and prohibited them from wearing the Palestinian Keffiyeh. The police issued a statement a day prior explaining that their intervention was based on the university administration's decision to prevent student festivals due to coronavirus preventive measures.;Palestine News and Information Agency
23/09/2021;On 23 September 2021, an Israeli settler who was driving a 'tractron' ran over a Palestinian in Al Awja village (Jericho, West Bank). The victim sustained bruises.;PLO Negotiations Affairs Department
24/09/2021;On 24 September 2021, a group of Israeli settlers fired shots towards Palestinians in Deir Ammar village (Ramallah and Al Bireh, West Bank) while razing agricultural lands in the town. Israeli military forces intervened and evacuated the settlers from the area. Casualties unknown.;PLO Negotiations Affairs Department
25/09/2021;On 25 September 2021, Palestinian militants opened fire on Israeli forces at the checkpoint in Al Jalamah (Jenin, West Bank) after undercover Israeli forces arrested two Palestinian men in the city earlier. There were no casualties.;Quds News Network
26/09/2021;On 26 September 2021, unspecified Palestinian militants exchanged fire with Israeli forces on Amman street in Nablus (Nablus, West Bank). There were no casualties.;Quds News Network
27/09/2021;On 27 September 2021, an armed Israeli settler randomly opened fire towards Palestinian students in Al Quds - Ras al Amud area (Al Quds, West Bank). There were no casualties.;"Ma'an News Agency; Palestine News and Information Agency"
28/09/2021;On 28 September 2021, Palestinian militants opened fire on the checkpoint in Huwwarah (Nablus, West Bank). There were no casualties.;Quds News Network
29/09/2021;On 29 September 2021, Palestinian militants in Gaza launched incendiary balloons towards the Gaza envelope, coded to Kissufim (Beer Sheva, HaDarom). There were no casualties.;Quds News Network
30/09/2021;On 30 September 2021, Palestinian militants threw a grenade at Israeli forces in Azzun (Qalqilya, West Bank). There were no casualties.;Quds News Network
04/10/2021;On 4 October 2021, an unidentified Palestinian armed group opened fire at Israeli soldiers positioned on a military tower near Yabad in Mevo Dotan (Jenin, West Bank). There were no casualties among the soldiers.;"Arab 48; Dunia Al Watan"
07/10/2021;On 7 October 2021, an unidentified Palestinian armed group exchanged fire with Israeli military forces who raided the Al Makhfiyah area in Nablus city (Nablus, West Bank). There were no casualties.;"Arab 48; Dunia Al Watan"
08/10/2021;On 8 October 2021, an unidentified armed Palestinian group opened fire at an Israeli military tower in Yitzhar religious settlement (Nablus, West Bank). There were no casualties among the soldiers.;Palestine Information Center
11/10/2021;Around 11 October 2021 (as reported), two settlers from Baytar Illit settlement opened fire and shot two Palestinian civilians who were walking near Baytar Illit (Bethlehem, West Bank). As a result, one Palestinian was injured, and the Israeli police forces arrested the two settlers.;Kikar HaShabbat
12/10/2021;On 12 October 2021, an unidentified Palestinian armed group opened fire towards Israeli military vehicles during an Israeli operation in Tammun (Tubas, West Bank). There were no casualties among the soldiers.;"Liveuamap; Twitter"
14/10/2021;On 14 October 2021, Israeli military forces opened fire at a Palestinian car over an alleged ramming attack at Qalandia crossing in Qalandia (Al Quds, West Bank). As a result, a policeman was moderately injured, and the Palestinian suspect was wounded and arrested. According to Israeli sources, the driver drove at high speed and hit a police officer.;"Dunia Al Watan; Liveuamap; Ma'an News Agency; Palestine News and Information Agency; Press TV; Twitter; Xinhua"
19/10/2021;On 19 October 2021, an unidentified Palestinian armed group opened fire at an Israeli military site near Huwwarah Checkpoint near Huwwarah town (Nablus, West Bank). Israeli military forces chased the suspicious vehicle. There were no casualties among the soldiers.;"Liveuamap; Twitter"
20/10/2021;On 20 October 2021, an unidentified Palestinian armed group opened fire at an Israeli military post during a military operation near Bayt Awwa (Hebron, West Bank). There were no casualties.;"Liveuamap; Twitter"
21/10/2021;On 21 October 2021, Israeli armed settlers who were under the protection of Israeli military forces physically attacked a Palestinian truck driver in Qusra (Nablus, West Bank). They also opened fire in front of Palestinians in an attempt to confiscate the truck. There were no casualties.;"Ma'an News Agency; PLO Negotiations Affairs Department"
27/10/2021;On 27 October 2021, Israeli police forces physically assaulted 3 Israeli Arabs in Kafr Qaseem (Petah Tiqwa, HaMerkaz) and used pepper spray against them under the pretext of violating the Coronavirus protocols.;Arab 48
30/10/2021;On 30 October 2021, an unidentified Palestinian armed group opened fire at Palestinian security forces in Balata refugee camp (Nablus, West Bank). Clashes erupted after the security forces dispersed armed Palestinians who were participating in a memorial ceremony of a Palestinian killed last year during an exchange of fire with another Palestinian group.;"Ma'an News Agency; Palestine News and Information Agency"
31/10/2021;On 31 October 2021, a Palestinian unidentified armed group opened fire at the Mevo Dotan settlement (Jenin, West Bank). As a result, Israeli military forces closed the Dotan checkpoint located near Yabad town. There were no casualties among the soldiers.;"Arab 48; Ma'an News Agency"
02/11/2021;On 2 November 2021, an unidentified Palestinian group opened fire at Israeli forces in the eastern area of Nablus, West Bank while securing the area for a settler raid to Joseph's Tomb in Nablus - An Nabi Yusuf. No information on casualties.;Newpress
03/11/2021;On 3 November 2021, Israeli military forces opened fire towards a Palestinian car that attempted to run over soldiers near As Samu (Hebron, West Bank). Soldiers arrested two Palestinians, one of them was injured with a live bullet during the incident.;"Al-Ittihad; Times of Israel"
04/11/2021;On 4 November 2021, armed Palestinian militants opened fired at the district headquarters in Jenin (Jenin, West Bank). There were no casualties.;Quds News Network
05/11/2021;On 5 November 2021, an armed Palestinian gunman opened fire from a moving car at an Israeli checkpoint near Ramallah (Ramallah and Al Bireh, West Bank). There were no casualties.;Quds News Network
08/11/2021;On 8 November 2021, armed Israelis hurled a grenade at the headquarters of the Israeli ministry of health in Nazareth (Yizreel, HaZafon). Casualties unknown.;Quds News Network
10/11/2021;On 10 November 2021, Israeli settlers who were under the protection of Israeli soldiers shot live bullets at Palestinians in Khilat Al Dabae east of Yuta (Hebron, West Bank), injuring 2. They also injured 3 more Palestinians by rock throwing. Settlers also smashed the window of a Red Cross ambulance that had arrived at the scene. The incident occurred after Israeli settlers broke into the area and set up a tent on Palestinian-owned lands to expand their grazing areas.;"BBC News; Dunia Al Watan; Haaretz; Ma'an News Agency; Palestine News and Information Agency; PLO Negotiations Affairs Department; Press TV; Times of Israel"
13/11/2021;On 13 November 2021, Israeli settlers under the protection of Israeli police forces attacked Palestinians during a raid into Al Quds - Ras al Amud neighborhood (Al Quds, West Bank). A settler fired live bullets towards a Palestinian who was injured in his hand and taken to a hospital. Also, two other Palestinians were beaten and sustained bruises.;"Arab 48; Ma'an News Agency; Palestine News and Information Agency; PLO Negotiations Affairs Department"
16/11/2021;On 16 November 2021, an unidentified Palestinian armed group exchanged fire with Israeli military forces who raided Tubas city (Tubas, West Bank) and arrested two activists. One Palestinian affiliated with the PIJ was killed after being injured with a live bullet. Also, Palestinian rioters hurled stones, Molotov cocktails, and other explosives at the soldiers.;"AFP; Al-Ittihad; Al Ghad (Jordan); Anadolu Agency; AP; Arab 48; BBC News; Dunia Al Watan; Haaretz; Liveuamap; Ma'an News Agency; Palestine News and Information Agency; Palestinian News Network; PCHR: Palestinian Centre for Human Rights; PLO Negotiations Affairs Department; Times of Israel; Twitter; Xinhua"
17/11/2021;On 17 November 2021, Israeli police forces shot dead a Palestinian youth after he carried out a stabbing attack against police forces in Al Quds - Old City (Al Quds, West Bank). 2 police officers were injured during the attack.;"AFP; Al Ghad (Jordan); Arab 48; BBC News; Dunia Al Watan; GardaWorld; Liveuamap; Ma'an News Agency; Palestine News and Information Agency; PCHR: Palestinian Centre for Human Rights; PLO Negotiations Affairs Department; Times of Israel; Twitter"
19/11/2021;On 19 November 2021, an unidentified Palestinian armed group exchanged fire with Palestinian security forces in Jenin - Mukhayyam Jenin refugee camp (Jenin, West Bank). Meanwhile, Palestinian rioters hurled stones at the security forces, who fired tear gas canisters at them in return. There were no casualties.;"Arab 48; Dunia Al Watan; Ma'an News Agency"
21/11/2021;On 21 November 2021, a Palestinian armed with a knife ambushed and stabbed a Jewish passerby in Jaffa (Tel Aviv, Tel Aviv), moderately injuring him. The victim struggled with the attacker to defend his wife, who walked next to him, causing him to flee. The assaulter, a Palestinian from the West Bank who illegally infiltrated Israel, was arrested shortly after, as the police believe he acted for a nationalist motive.;N12
22/11/2021;On 22 November 2021, Israeli military forces positioned on the border opened fire towards a Palestinian military site belonging to an unidentified armed group north of Bayt Lahya (North Gaza, Gaza Strip). Casualties unknown.;PLO Negotiations Affairs Department
24/11/2021;On 24 November 2021, Palestinian gunmen opened fire on the Jenin governorate building in Jenin (Jenin, West Bank). There were no casualties.;Quds News Network
27/11/2021;On 27 November 2021, Unidentified gunmen opened fire on a bus belonging to the Muslim Youth Association in Hebron (Hebron, West Bank). The source did not report whether the bus was carrying members of the Muslim Youth Association or not. There were no fatalities.;Quds News Network
28/11/2021;On 28 November 2021, unidentified Palestinian militants threw a grenade at Israeli settlers' homes in Ramla (Ramla, HaMerkaz). A loud explosion was heard shortly after. There were no fatalities.;Quds News Network
02/12/2021;On 2 December 2021, armed Palestinian militants opened fire on the settlement of Pesagot (Ramallah and Al Bireh, West Bank). There were no casualties.;Quds News Network
03/12/2021;On 3 December 2021, a car driven by two Israeli Arabs rammed over two Police border officers in Umm el Fahm (Haifa, Hadera) after refusing to stop at a police checkpoint set up in the place. The officers responded by opening fire toward the car's occupants, killing one of them and injuring the second. One of the policemen was hospitalized, and the other was lightly injured. The culprits were supposedly on their way to attack a rival family in the city as revenge for igniting their relative's house, and the border police had erected the checkpoint following a tip-off to stop them. A pistol was found in the car. No nationalist motive was attributed to the incident.;Haaretz
04/12/2021;On 4 December 2021, Israeli border police shot and killed a Palestinian immediately after he had stabbed an Israeli ultra-Orthodox Jewish man near Bab al-Amud (Damascus Gate) in Al Quds - Old City (Al Quds, West Bank), and then turned towards the officers. The Israeli was seriously injured.;"AFP; Al-Ittihad; Al Ghad (Jordan); AP; Arab 48; Arutz Sheva; Dunia Al Watan; GardaWorld; Haaretz; Jerusalem Post; Liveuamap; Ma'an News Agency; Palestine News and Information Agency; PCHR: Palestinian Centre for Human Rights; PLO Negotiations Affairs Department; Times of Israel; Twitter"
05/12/2021;On 5 December 2021, unidentified armed Palestinians opened fire on a vehicle and building belonging the Al Kom village council near Dura (Hebron, West Bank). The source did not state a reason for the attack or if the building or vehicle were inhabited. Casualties unknown.;Quds News Network
06/12/2021;On 6 December 2021, a 16-year-old Palestinian drove a car and struck an Israeli Settlement Emergency Squad guard at Te'enim Crossing - Jabara (Tulkarm, West Bank), who was moderately injured. The Palestinian then was shot dead by Israeli squad guards.;"Al-Ittihad; Al Ghad (Jordan); Anadolu Agency; AP; Arab 48; BBC News; Dunia Al Watan; Haaretz; Liveuamap; Ma'an News Agency; Palestine News and Information Agency; PLO Negotiations Affairs Department; Press TV; Twitter"
08/12/2021;On 8 December 2021, a 15-year old Palestinian girl stabbed an Israeli female settler in Al Quds - Shaykh Jarrah (Al Quds, West Bank) and escaped from the scene before being arrested soon after. The Israeli was injured and taken to the hospital.;"AFP; Al Ghad (Jordan); BBC News; Dunia Al Watan; Haaretz; Liveuamap; Ma'an News Agency; Twitter; Xinhua"
12/12/2021;On 12 December 2021, a Palestinian driver attempted to carry out a car ramming attack against Israeli border police officers near the checkpoint at Meitar (Beer Sheva, HaDarom). The driver hit several vehicles and tried to hit officers before fleeing the scene.;News 0404
13/12/2021;On 13 December 2021, Palestinian police forces exchanged fire with an unidentified armed Palestinian group that participated in the funeral of a Palestinian killed by Israeli soldiers in Nablus city (West Bank). Security forces also fired tear gas canisters towards Palestinians who raised the flags of the Hamas Movement during the funeral, dozens suffered from tear gas inhalation. There were no casualties.;BBC News
15/12/2021;On 15 December 2021, armed Palestinian militants opened fire on the Huwwarah checkpoint, presumably aiming at Israeli military troops stationed there, in Huwwarah (Nablus, West Bank). There were no fatalities.;Quds News Network
16/12/2021;On 16 December 2021, an armed Israeli settler broke into Madama village (Nablus, West Bank) and opened fire towards Palestinian houses. Israeli soldiers arrived and evacuated the attacker. Settlers' violence heightened in the West Bank after Palestinian gunmen killed a settler near Homesh settlement / Burqah in Nablus. There were no casualties.;PLO Negotiations Affairs Department
17/12/2021;On 17 December 2021, unknown gunmen [presumably Bedouins] shot at a police station in Tel Sheva (HaDarom, Beer Sheva) causing light damage to its walls. No one was hurt from the shooting. The incident appeared to be a response of local criminal gangs to the recent crackdown attempt of the Israeli police on organized crime within the Arab and the Bedouin society.;Haaretz
18/12/2021;On 18 December 2021, a 65-year old Palestinian female stabbed an Israeli settler near al-Haram al-Ibrahimi (Cave of the Patriarchs) in Hebron city (Hebron, West Bank). The settler was lightly injured, and the assailant was arrested and beaten by Israeli soldiers.;"Al-Ittihad; Al Ghad (Jordan); AP; Arab 48; Dunia Al Watan; Ma'an News Agency; Palestine News and Information Agency; PCHR: Palestinian Centre for Human Rights; PLO Negotiations Affairs Department; Times of Israel"
19/12/2021;On 19 December 2021, armed Palestinian militants opened fire on Israeli military forces during their of Silat al Harithiyah (Jenin, West Bank). There were no fatalities.;Quds News Network
20/12/2021;On 20 December 2021, a Palestinian prisoner stabbed an Israeli prison guard in Nafha Prison (Rekhes Nafha, Beer Sheva, HaDarom). Casualties unknown.;Quds News Network
21/12/2021;On 21 December 2021, Israeli military forces shot and killed a Palestinian who attempted to ram them near Mevo Dotan checkpoint (Jenin, West Bank). The Palestinian accelerated his car towards the soldiers who opened fire toward the vehicle, which caught fire and the driver was burned to death. There were no casualties among Israeli soldiers.;"AFP; AP; Arab 48; BBC News; Dunia Al Watan; GardaWorld; Israeli Defense Forces; Liveuamap; Ma'an News Agency; Palestine News and Information Agency; PCHR: Palestinian Centre for Human Rights; PLO Negotiations Affairs Department; Press TV; Times of Israel; Twitter; Xinhua"
22/12/2021;On 22 December 2021, armed Palestinian militants opened fire on Israeli military forces during their raid on Asirah al Qibliyah (Nablus, West Bank). There were no fatalities.;Quds News Network
23/12/2021;On 23 December 2021, armed Palestinian militants opened fire and hurled Molotov cocktails at Israeli military forces in Tammun (Tubas, West Bank). An Israeli vehicle was damaged by a Molotov cocktail. There were no fatalities.;Quds News Network
24/12/2021;Other: On 24 December 2021, an Israeli settler ran over and killed an elderly Palestinian woman with his car near Sinjil (Ramallah and Al Bireh, West Bank).;Quds News Network
25/12/2021;On 25 December 2021, armed Palestinian militants opened fire from a speeding car, likely at Israeli military forces, at the checkpoint in Huwwarah (Nablus, West Bank). There were no fatalities.;Quds News Network
26/12/2021;On 26 December 2021, Palestinian gunmen opened fire towards Dotan military checkpoint near Mevo Dotan (Jenin, West Bank). There were no casualties among the soldiers.;Arab 48
28/12/2021;On 28 December 2021, armed Palestinian militants opened fire, likely at Israeli military forces, at the checkpoint in Huwwarah (Nablus, West Bank). There were no fatalities.;Quds News Network
29/12/2021;On 29 December 2021, a Palestinian militant in the Gaza Strip shot at an Israeli civilian contractor near Nahal Oz (HaDArom, Ashqelon), who was working on a military project to enhance the barrier along the Israel-Gaza Strip border. The contractor was slightly injured. No group claimed responsibility for the attack.;N12
30/12/2021;On 30 December 2021, armed Palestinian militants opened fire, likely at Israeli military forces, on the checkpoint in Al Jalamah (Jenin, West Bank). There were no fatalities.;Quds News Network
31/12/2021;On 31 December 2021, Israeli military forces shot dead a Palestinian who tried to carry out a stabbing attack near the junction of Ariel settlement (Salfit, West Bank). The attacker ran towards the bus stop in the area holding a knife before being shot by soldiers. He succumbed to his injuries shortly after taken to the hospital. There were no casualties among Israelis.;"AFP; Al-Ittihad; AP; Arab 48; BBC News; Dunia Al Watan; Haaretz; Israeli Defense Forces; Liveuamap; Ma'an News Agency; Palestine News and Information Agency; Palestinian News Network; Press TV; Twitter"
01/01/2022;On 1 January 2022, unidentified gunmen shot and killed a Palestinian military judge in Iktabah, Tulkarm (West Bank) firing a round in his head. The reasons for the shooting are unknown and the police are investigating the incident.;Quds News Network
02/01/2022;On 2 January 2022, Israeli artillery struck a Hamas Movement position west of Bayt Hanun (North Gaza, Gaza Strip) in response to the two rockets fired from Gaza yesterday that landed off the coast of Tel Aviv, causing material damage to the sites. There were no casualties.;"Dunia Al Watan; Palestine News and Information Agency"
03/01/2022;On 3 January 2022, Palestinian militants in Gaza Strip fired gunshots toward the Israeli side of Gaza Strip-Israel border. No casualties nor damage were reported. The incident followed a sniper and rocket fire from Gaza Strip to Israel over the past week, suggesting an escalation in this front. Coded to Saad.;Jerusalem Post
06/01/2022;On 6 January 2022, an Israeli settler rammed a Palestinian civilian with his vehicle at Bayt Sira checkpoint, Ramallah and Al Bireh (West Bank) resulting in the civilian's death. It's unclear if the ramming was intentional or not.;Quds News Network
07/01/2022;On 7 January 2022, Israeli settlers attacked and opened fire at Palestinian civilians in Suseya village, Hebron (West Bank). There were no casualties.;Quds News Network
08/01/2022;On 8 January 2022, a Palestinian armed group [presumably affiliated with the Al Aqsa Martyrs Brigade - Fatah in Jenin - Mukhayyam Jenin refugee camp] fired shots towards al Muqata building, the PA's Headquarters in Jenin city (Jenin, West Bank), which hosts civil departments and security forces. The incident came after Palestinian security forces arrested 3 men from the Jenin refugee camp over ownership of illegal weapons. One of the detainees is the son of a Fatah prisoner and leader of Al Aqsa Martyrs Brigade who attempted to escape from the Gilboa prison last year. There were no casualties.;"Haaretz; Ma'an News Agency; Times of Israel"
10/01/2022;On 10 January 2022, Israeli police forces 'brutally' assault an Israeli Bedouin civilian during a raid on Al Atrash village in the Negev Desert area (Beer Sheva, HaDarom).;Quds News Network
11/01/2022;On 11 January 2022, an unidentified Palestinian armed group opened fire at Israeli forces in Jaba (Jenin, West Bank) during a military raid in the area. Casualties unknown.;Quds News Network
12/01/2022;On 12 January 2022, Israeli military forces positioned on the border opened fire towards a post belonging to an unidentified Palestinian armed group east of Bayt Hanun (North Gaza, Gaza Strip), injuring a Palestinian. There were no fatalities.;PLO Negotiations Affairs Department
13/01/2022;On 13 January 2022, an unidentified Palestinian armed group exchanged fire with Israeli military forces who raided Tubas city (Tubas, West Bank). Meanwhile, Palestinians clashed with the soldiers who fired live and rubber bullets, tear gas canisters, and stun grenades. A Palestinian was injured with a live bullet in his hand and taken to the hospital. There were no casualties among the soldiers.;"Dunia Al Watan; Liveuamap; Palestine News and Information Agency; PLO Negotiations Affairs Department; Twitter"
15/01/2022;On 15 January 2022, unidentified gunmen opened fire at a Palestinian police precinct in Al Yamun (Jenin, West Bank). There were no casualties.;Quds News Network
17/01/2022;On 17 January 2022, an unidentified Palestinian armed group opened fire at Israeli forces near the intersection to Jaba (Jenin, West Bank). There were no casualties.;Quds News Network
18/01/2022;On 18 January 2022, an unidentified Palestinian armed group opened fire at Israeli forces in Al Zuyut street area in Nablus city, West Bank. There were no casualties.;Quds News Network
20/01/2022;On 20 January 2022, an unidentified Palestinian armed group opened fire at Israeli forces in Qabatiyah, Jenin (West Bank) during an Israeli raid in the area. Casualties unknown.;Quds News Network
21/01/2022;On 21 January 2022, Palestinian police forces broke into Bayta village (Nablus, West Bank), and raided the houses of three Palestinians, including a Muslim Shiekh, beat them up, and arrested them. The police also beat up and pepper sprayed one of the detained people's family members.;Palestine Information Center
24/01/2022;On 24 January 2022, an unidentified Palestinian group opened fire at Israeli forces in Jaba (Jenin, West Bank). There were no casualties.;Quds News Network
25/01/2022;On 25 January 2022, Israeli military forces positioned on the border fired shots and tear gas canisters towards a position belonging to an unidentified Palestinian armed group east of Bayt Hanun (North Gaza, Gaza Strip). Casualties unknown.;PLO Negotiations Affairs Department
26/01/2022;On 26 January 2022, an unidentified Palestinian group opened fire at Israeli forces in Bayta (Nablus, West Bank) during an Israeli raid on the town. There were no casualties.;Quds News Network
27/01/2022;On 27 January 2022, an unidentified Palestinian group opened fire towards an Israeli settlement in Jalbun (Jenin, West Bank). There were no casualties.;Quds News Network
